
2023-01-07 19:04:37:	11.8 中国民主革命纲领的制定

2023-01-07 19:50:30:	14.2 遵义会议
2023-01-07 19:50:43:	1.[单选题] 遵义会议召开于（）年。
2023-01-07 19:50:50:	答案为:1935
2023-01-07 19:50:53:	2.[判断题] 遵义会议集中解决了当时具有决定意义的军事问题和组织问题。
2023-01-07 19:51:03:	答案为:A
2023-01-07 19:51:04:	3.[判断题] 遵义会议事实上确定了毛泽东的领导地位问题。
2023-01-07 19:51:13:	答案为:A
2023-01-07 19:51:16:	该小节已完成......
2023-01-07 19:51:19:	

2023-01-07 19:51:19:	14.3 红军长征的胜利
2023-01-07 19:51:29:	1.[单选题] 长征精神是以（）为核心的民族精神的最高体现。
2023-01-07 19:51:37:	答案为:利他主义
2023-01-07 19:51:38:	2.[判断题] 中国工农红军的长征是一部伟大的革命英雄主义的史诗。
2023-01-07 19:51:47:	答案为:A
2023-01-07 19:51:51:	该小节已完成......
2023-01-07 19:51:53:	

2023-01-07 19:51:53:	15.1 日本对中国的侵略及在华暴行（一）
2023-01-07 19:52:05:	1.[单选题] 日本明治政府以（）为国策，占领景福宫、吞并琉球皆是在这一国策之下的行动。
2023-01-07 19:52:13:	答案为:D
2023-01-07 19:52:17:	2.[单选题] 日本侵略中国的最根本的原因是（）。
2023-01-07 19:52:24:	答案为:日本军国主义思想与西方法西斯主义的结合
2023-01-07 19:52:31:	该单选题未完成.......
2023-01-07 19:52:31:	3.[判断题] 在田中义一政府的推动下，日本确定了通过征服中国来征服世界的方针。
2023-01-07 19:52:39:	答案为:A
2023-01-07 19:52:46:	该小节已保存......
2023-01-07 19:52:47:	

2023-01-07 19:52:47:	15.2 日本对中国的侵略及在华暴行（二）
2023-01-07 19:52:57:	1.[单选题] 九一八事变发生于（）。
2023-01-07 19:53:04:	答案为:B
2023-01-07 19:53:08:	2.[单选题] 下列不属于九一八事变和华北事变爆发背景的是（）。
2023-01-07 19:53:15:	答案为:田中义一上台
2023-01-07 19:53:16:	3.[判断题] 张学良曾授权媒体刊登《田中奏折》，揭露日本的侵略野心。
2023-01-07 19:53:24:	答案为:B
2023-01-07 19:53:27:	该小节已完成......
2023-01-07 19:53:30:	

2023-01-07 19:53:30:	15.3 日本对中国的侵略及在华暴行（三）
2023-01-07 19:53:41:	1.[单选题] （）之后，中日矛盾成为了中国社会的主要矛盾。
2023-01-07 19:53:48:	答案为:C
2023-01-07 19:53:52:	2.[单选题] 1932年，日本挟持（）成立了伪“满洲国”。
2023-01-07 19:53:59:	答案为:A
2023-01-07 19:54:00:	3.[判断题] 尽管国民政府奉行不抵抗政策，仍然有很多爱国将领舍生忘死、英勇抗战，最终为国捐躯。
2023-01-07 19:54:07:	答案为:A
2023-01-07 19:54:11:	该小节已完成......
2023-01-07 19:54:14:	

2023-01-07 19:54:14:	15.4 日本对中国的侵略及在华暴行（四）
2023-01-07 19:54:25:	1.[单选题] 1937年12月12日，（）率所部由中华门侵入南京，并伙同第16师团、18师团、114师团等制造了南京大屠杀。
2023-01-07 19:54:33:	答案为:D
2023-01-07 19:54:37:	2.[单选题] 日本对东北民众进行殖民统治的时间长达（）。
2023-01-07 19:54:44:	答案为:B
2023-01-07 19:54:45:	3.[判断题] 日本侵略者按照“思想战”的方针，在其占领区大力推行奴化教育，企图以此达到泯灭中国民众的民族意识和反抗精神、维护其殖民统治的目的。
2023-01-07 19:54:52:	答案为:A
2023-01-07 19:54:56:	该小节已完成......
2023-01-07 19:55:03:	

2023-01-07 19:55:03:	15.5 中国共产党举起武装抗日的旗帜
2023-01-07 19:55:13:	1.[单选题] 从理论逻辑和历史事实出发，（）是中国抗日战争的起点。
2023-01-07 19:55:21:	答案为:A
2023-01-07 19:55:22:	2.[判断题] 把1939年9月德国闪击波兰事件当做世界反法西斯战争起点的标志，就会明显带有欧洲中心论的倾向。
2023-01-07 19:55:31:	答案为:A
2023-01-07 19:55:35:	该小节已完成......
2023-01-07 19:55:38:	

2023-01-07 19:55:38:	15.6 抗日民族统一战线方针的建立与特点（一）
2023-01-07 19:55:49:	1.[单选题] （）确立了抗日民族统一战线的策略方针。
2023-01-07 19:55:56:	答案为:A
2023-01-07 19:56:00:	2.[单选题] 毛泽东指出（）应该是抗日民族统一战线的领导者。
2023-01-07 19:56:08:	答案为:C
2023-01-07 19:56:10:	3.[判断题] 中国共产党不仅积极参加和推动各地的抗日救亡运动，而且直接领导了东北人民的抗日武装斗争。
2023-01-07 19:56:19:	答案为:A
2023-01-07 19:56:23:	该小节已完成......
2023-01-07 19:56:25:	

2023-01-07 19:56:25:	15.7 抗日民族统一战线方针的建立与特点（二）
2023-01-07 20:02:49:	

2023-01-07 20:02:49:	15.5 中国共产党举起武装抗日的旗帜
2023-01-07 20:02:56:	

2023-01-07 20:02:56:	15.6 抗日民族统一战线方针的建立与特点（一）
2023-01-07 20:03:03:	

2023-01-07 20:03:03:	15.7 抗日民族统一战线方针的建立与特点（二）
2023-01-07 20:03:15:	1.[单选题] 中共中央通过（）第一次向国民党提出合作抗日的谈判条件。
2023-01-07 20:03:23:	答案为:C
2023-01-07 20:03:27:	2.[单选题] 华北事变发生后，蒋介石集团的对日态度发生了变化。在1935年11月的（），蒋介石有了“当听命党国，下最后之决心”的表示；并在次年发表演说“假如有人强迫我们签订承认伪国等损害领土主权的时候，就是我们不能容忍的时候”。
2023-01-07 20:03:35:	答案为:国民党第五次全国代表大会
2023-01-07 20:03:39:	3.[单选题] 一二·九爱国运动最先在（）爆发。
2023-01-07 20:03:46:	答案为:A
2023-01-07 20:03:50:	该小节已完成......
2023-01-07 20:03:51:	

2023-01-07 20:03:51:	15.8 抗日民族统一战线方针的建立与特点（三）
2023-01-07 20:04:07:	1.[单选题] 西安事变发生的时间是（）。
2023-01-07 20:04:17:	答案为:1936年12月12日
2023-01-07 20:04:20:	2.[单选题] 西安事变发生后，多方势力希望和平解决此事，其中不包括（）。
2023-01-07 20:04:28:	答案为:以何应钦为代表的国民党派别
2023-01-07 20:04:30:	3.[判断题] 西安事变是张杨二人在蒋介石抵达西安时就已经策划好的。
2023-01-07 20:04:39:	答案为:B
2023-01-07 20:04:43:	该小节已完成......
2023-01-07 20:04:44:	

2023-01-07 20:04:44:	15.9 抗日民族统一战线方针的建立与特点（四）
2023-01-07 20:04:56:	1.[单选题] 红军主力改编为国民革命军第八路军后，（）任军长。
2023-01-07 20:05:05:	答案为:朱德
2023-01-07 20:05:08:	2.[单选题] 卢沟桥事变后，蒋介石的（）最先确定了国民政府的抗战方针。
2023-01-07 20:05:17:	答案为:A
2023-01-07 20:05:18:	3.[判断题] 中国共产党自抗日民族统一战线中取得了合法地位。
2023-01-07 20:05:28:	答案为:A
2023-01-07 20:05:31:	该小节已完成......
2023-01-07 20:05:34:	

2023-01-07 20:05:34:	15.10 全民族同仇敌忾、奋起抗战
2023-01-07 20:05:45:	1.[判断题] 抗日战争时期，香港、澳门同胞积极支援了内地的抗战。
2023-01-07 20:05:53:	答案为:A
2023-01-07 20:05:56:	该小节已完成......
2023-01-07 20:05:58:	

2023-01-07 20:05:58:	16.1 关于抗日战争的领导权问题
2023-01-07 20:06:06:	

2023-01-07 20:06:06:	16.2 中国共产党是抗日战争的中流砥柱（一）
2023-01-07 20:06:18:	

2023-01-07 20:06:18:	16.3 中国共产党是抗日战争的中流砥柱（二）
2023-01-07 20:06:25:	

2023-01-07 20:06:25:	16.4 中国共产党是抗日战争的中流砥柱（三）
2023-01-07 20:06:33:	

2023-01-07 20:06:33:	16.5 中国共产党是抗日战争的中流砥柱（四）
2023-01-07 20:06:45:	1.[单选题] 中国共产党最早提出持久战战略方针是在（）。
2023-01-07 20:06:53:	答案为:1935-12-01
2023-01-07 20:06:59:	该单选题未完成.......
2023-01-07 20:07:01:	2.[单选题] 毛泽东对中日战争将经历三个阶段做了预言，这三个阶段不包括（）。
2023-01-07 20:07:09:	答案为:D
2023-01-07 20:07:10:	3.[判断题] 毛泽东在抗日战争中始终坚持游击战为红军的作战原则。
2023-01-07 20:07:18:	答案为:A
2023-01-07 20:07:24:	该小节已保存......
2023-01-07 20:07:26:	

2023-01-07 20:07:26:	16.6 中国共产党是抗日战争的中流砥柱（五）
2023-01-07 20:07:36:	1.[单选题] 夜袭阳明堡机场的主攻队伍是由（）带领指挥的。
2023-01-07 20:07:43:	答案为:C
2023-01-07 20:07:47:	2.[单选题] 1940年8月至12月初，八路军总部调集100多个团共20万人，对华北日军发动了一场大规模的以破袭敌人交通线为重要目标的进攻战役。这就是（）。
2023-01-07 20:07:55:	答案为:B
2023-01-07 20:07:59:	3.[判断题] 抗日根据地不断扩大，对日军形成反包围，是促成抗战相持阶段到来的主要原因。
2023-01-07 20:08:07:	答案为:A
2023-01-07 20:08:08:	3.[判断题] 抗日根据地不断扩大，对日军形成反包围，是促成抗战相持阶段到来的主要原因。
2023-01-07 20:08:16:	答案为:A
2023-01-07 20:08:19:	该小节已完成......
2023-01-07 20:08:22:	

2023-01-07 20:08:22:	16.7 中国共产党是抗日战争的中流砥柱（六）
2023-01-07 20:08:33:	1.[单选题] （）年春天，中国共产党的抗日根据地达到19个。
2023-01-07 20:08:41:	答案为:D
2023-01-07 20:08:45:	2.[单选题] （）最早确定了解放区的军事任务是从各个方面进行大反攻。
2023-01-07 20:08:55:	答案为:中共七大
2023-01-07 20:08:56:	3.[判断题] 抗日根据地在抵挡了大部分日军进攻的同时，自身也在不断成长壮大。
2023-01-07 20:09:04:	答案为:A
2023-01-07 20:09:08:	该小节已完成......
2023-01-07 20:09:10:	

2023-01-07 20:09:10:	16.8 中国共产党是抗日战争的中流砥柱（七）
2023-01-07 20:09:21:	1.[单选题] 在抗日战争中涌现出一大批抗战英雄与事迹，其中不是发生在东北的是（）。
2023-01-07 20:40:24:	

2023-01-07 20:40:24:	16.8 中国共产党是抗日战争的中流砥柱（七）
2023-01-07 20:40:34:	1.[单选题] 在抗日战争中涌现出一大批抗战英雄与事迹，其中不是发生在东北的是（）。
2023-01-07 20:40:43:	答案为:D
2023-01-07 20:40:43:	2.[判断题] 延安精神和东北抗联精神等都是共产党在抗日战争中培养的可贵的抗战精神。
2023-01-07 20:40:52:	答案为: 暂无
2023-01-07 20:49:34:	

2023-01-07 20:49:34:	16.8 中国共产党是抗日战争的中流砥柱（七）
2023-01-07 20:49:43:	1.[单选题] 在抗日战争中涌现出一大批抗战英雄与事迹，其中不是发生在东北的是（）。
2023-01-07 20:49:51:	答案为:D
2023-01-07 20:49:52:	2.[判断题] 延安精神和东北抗联精神等都是共产党在抗日战争中培养的可贵的抗战精神。
2023-01-07 20:50:01:	答案为: 暂无
2023-01-07 20:50:06:	该小节已保存......
2023-01-07 20:50:07:	

2023-01-07 20:50:07:	16.9 中国共产党的自身建设
2023-01-07 20:50:17:	1.[单选题] 毛泽东在（）中指出，党的领导、武装斗争、统一战线是中国共产党在中国革命中战胜敌人的三个法宝。
2023-01-07 20:50:26:	答案为:《 发刊词》
2023-01-07 20:50:30:	2.[单选题] （）系统阐述了中共在新民主主义革命阶段的基本纲领。
2023-01-07 20:50:38:	答案为:B
2023-01-07 20:50:39:	3.[单选题] （）基本上清除了王明的右倾错误，进一步确立了毛泽东在全党的领导地位。
2023-01-07 20:50:48:	答案为:B
2023-01-07 20:56:58:	

2023-01-07 20:56:58:	16.9 中国共产党的自身建设
2023-01-07 20:57:10:	1.[单选题] 毛泽东在（）中指出，党的领导、武装斗争、统一战线是中国共产党在中国革命中战胜敌人的三个法宝。
2023-01-07 20:57:18:	答案为:《 发刊词》
2023-01-07 20:57:22:	2.[单选题] （）系统阐述了中共在新民主主义革命阶段的基本纲领。
2023-01-07 20:57:31:	答案为:B
2023-01-07 20:57:32:	3.[单选题] （）基本上清除了王明的右倾错误，进一步确立了毛泽东在全党的领导地位。
2023-01-07 20:57:41:	答案为:B
2023-01-07 20:57:46:	该小节已完成......
2023-01-07 20:57:49:	

2023-01-07 20:57:49:	17.1 中国国民党的对日政策观（一）
2023-01-07 20:57:58:	1.[单选题] 以下哪个不是蒋介石“攘外必先安内”主张提出之后发生的事件?（）
2023-01-07 20:58:06:	答案为:C
2023-01-07 20:58:10:	2.[单选题] 国民党在（）上制定了《抗战建国纲领》。
2023-01-07 20:58:18:	答案为:D
2023-01-07 20:58:19:	3.[判断题] 国民党内部对蒋介石“攘外必先安内”的政治主张一致赞同。
2023-01-07 20:58:27:	答案为:B
2023-01-07 20:58:32:	该小节已完成......
2023-01-07 20:58:34:	

2023-01-07 20:58:34:	17.2 中国国民党的对日政策观（二）
2023-01-07 20:58:46:	1.[单选题] 抗战相持阶段日本对华政策转变，以下各项不属于其结果的是（）。
2023-01-07 20:58:53:	答案为:中国人民军队对日军展开全面战略反攻
2023-01-07 20:58:57:	2.[单选题] 以下能够推动蒋介石抵抗日军进攻的是（）。
2023-01-07 20:59:05:	答案为:C
2023-01-07 20:59:06:	3.[判断题] 太平洋战争爆发后，国民党正式对日宣战，此后都在积极应战。
2023-01-07 20:59:15:	答案为:B
2023-01-07 20:59:20:	该小节已完成......
2023-01-07 20:59:22:	

2023-01-07 20:59:22:	17.3 正确评价抗战时期的国民党正面战场（一）
2023-01-07 20:59:31:	1.[单选题] 平型关战役是（）的组成部分。
2023-01-07 20:59:39:	答案为:太原会战
2023-01-07 20:59:40:	2.[判断题] 在淞沪会战中，第八十八师五二四团团长谢晋元率孤军据守四行仓库，为壮声势，四百人对外号称八百人，被上海市民誉为“八百壮士”。
2023-01-07 20:59:49:	答案为:A
2023-01-07 20:59:54:	该小节已完成......
2023-01-07 20:59:56:	

2023-01-07 20:59:56:	17.4 正确评价抗战时期的国民党正面战场（二）
2023-01-07 21:00:06:	1.[单选题] （）是抗战爆发后正面战场取得的首次重大胜利。
2023-01-07 21:00:15:	答案为:台儿庄大捷
2023-01-07 21:00:18:	2.[判断题] 国民党正面战场中涌现出了大批爱国官兵，也存在不少消极抗战的将领。
2023-01-07 21:00:27:	答案为:A
2023-01-07 21:00:28:	3.[判断题] 国民党在正面战场发动的数次会战中没有采取过积极进攻的策略。
2023-01-07 21:00:37:	答案为:B
2023-01-07 21:00:42:	该小节已完成......
2023-01-07 21:00:44:	

2023-01-07 21:00:44:	17.5 正确评价抗战时期的国民党正面战场（三）
2023-01-07 21:00:55:	1.[单选题] 中国远征军前往（）与日本进行作战。
2023-01-07 21:01:04:	答案为:D
2023-01-07 21:01:05:	2.[判断题] 1944年下半年开始，美国的对华政策转为扶蒋反共。
2023-01-07 21:01:13:	答案为:A
2023-01-07 21:01:18:	该小节已完成......
2023-01-07 21:01:20:	

2023-01-07 21:01:20:	17.6 正确评价抗战时期的国民党正面战场（四）
2023-01-07 21:01:30:	1.[单选题] （）在枣宜战役中壮烈牺牲，以身殉国。
2023-01-07 21:01:39:	答案为:C
2023-01-07 21:01:40:	2.[判断题] 在抗击日本侵略者的过程中，尽管蒋介石在决策抗战、坚持抗战方面也发挥了一定的客观作用，但他更多采取的是消极抗战的方针。
2023-01-07 21:01:49:	答案为:A
2023-01-07 21:01:54:	该小节已完成......
2023-01-07 21:01:57:	

2023-01-07 21:01:57:	18.1 抗日战争的胜利（一）
2023-01-07 21:02:06:	1.[单选题] 1944年中国军队抗日战争进入战略反攻阶段的特点是（）。
2023-01-07 21:02:14:	答案为:B
2023-01-07 21:02:17:	2.[单选题] 日本宣布投降后，中国战区受降仪式于（）在南京举行。
2023-01-07 21:02:26:	答案为:1945-09-09
2023-01-07 21:02:32:	该单选题未完成.......
2023-01-07 21:02:32:	3.[判断题] 1945年8月15日，日本天皇裕仁以广播“终战诏书”的形式宣布接受波茨坦公告。
2023-01-07 21:02:41:	答案为:A
2023-01-07 21:02:49:	该小节已保存......
2023-01-07 21:02:55:	

2023-01-07 21:02:55:	18.2 抗日战争的胜利（二）
2023-01-07 21:03:04:	1.[单选题] 二战后对日本战犯的审判主要在（）和（）举行。
2023-01-07 21:03:13:	答案为:解析:
2023-01-07 21:03:19:	该单选题未完成.......
2023-01-07 21:03:21:	2.[单选题] 1945年12月6日，战争罪犯处理委员会最先在（）成立。
2023-01-07 21:03:29:	答案为:重庆
2023-01-07 21:03:30:	3.[判断题] 东京审判确定了发动侵略战争是犯罪，计划和准备侵略战争则不构成犯罪。
2023-01-07 21:03:39:	答案为:B
2023-01-07 21:03:46:	该小节已保存......
2023-01-07 21:03:47:	

2023-01-07 21:03:47:	18.3 中国人民抗日战争在世界反法西斯战争中的地位
2023-01-07 21:03:57:	1.[单选题] 在世界反法西斯战争中，中华民族进入全面抗战阶段的标志是（）。
2023-01-07 21:04:06:	答案为:卢沟桥事变
2023-01-07 21:04:10:	2.[单选题] 中国抗日战争打乱了法西斯的战略协同计划，体现在（）。
2023-01-07 21:04:18:	答案为:D
2023-01-07 21:04:19:	3.[判断题] 只有中国战场上取得对日作战的胜利，反法西斯战争才能以胜利结束。
2023-01-07 21:04:27:	答案为:A
2023-01-07 21:04:32:	该小节已完成......
2023-01-07 21:04:34:	

2023-01-07 21:04:34:	18.4 抗日战争胜利的意义
2023-01-07 21:04:46:	1.[单选题] 中国人民抗日战争胜利纪念日是（）。
2023-01-07 21:04:54:	答案为:C
2023-01-07 21:04:57:	2.[单选题] 联合国正式宣告成立是在（）。
2023-01-07 21:05:05:	答案为:1945年10月24日
2023-01-07 21:05:06:	3.[判断题] 美苏英等国都对中国在反法西斯战争中起到的关键作用给予了充分肯定。
2023-01-07 21:05:14:	答案为:A
2023-01-07 21:05:19:	该小节已完成......
2023-01-07 21:05:22:	

2023-01-07 21:05:22:	18.5 抗日战争胜利的原因和基本经验
2023-01-07 21:05:28:	

2023-01-07 21:05:28:	18.6 中国政府为什么高调纪念抗战胜利70周年？（一）
2023-01-07 21:05:39:	1.[判断题] 日本多家出版社否定南京大屠杀、慰安妇等问题的行为得到了日本政府的授意。
2023-01-07 21:05:47:	答案为:A
2023-01-07 21:05:48:	2.[判断题] 世界反法西斯战争的东方主战场中国人民抗日战争从一开始就具有拯救人类文明、保卫世界和平的重大意义。
2023-01-07 21:05:57:	答案为:A
2023-01-07 21:06:02:	该小节已完成......
2023-01-07 21:06:04:	

2023-01-07 21:06:04:	18.7 中国政府为什么高调纪念抗战胜利70周年？（二）
